"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
200;3;3;3;4;6;5;6;5;4;;;;4;5;3;3;4;7;81
201;6;4;4;;;;;;;;;;;;;;5;4;85
202;6;4;6;3;5;3;5;3;4;6;5;4;;;;;;;79
203;7;3;5;4;5;4;5;3;7;4;7;6;;;;;4;6;88
204;7;6;4;;;;;;;;;;;;3;4;3;6;86
205;;;;;;;;;;;;;;;;;3;;81
206;5;6;7;5;7;5;6;3;5;6;;;;;;;3;8;96
207;;;;;;;;;;;;6;3;;;;;;83
208;;;;;;;3;4;4;5;3;5;4;8;;;;;81
209;;;;;;;;3;5;8;6;5;4;7;4;8;6;;99
210;3;4;5;;;;;;;;;;;;;;;4;77
211;;;;;;;;4;;;;;;;;;;;85
212;5;5;4;4;6;4;4;6;5;6;5;5;;5;3;4;4;4;83
213;4;3;5;3;5;;;;;;5;5;5;5;4;5;4;4;80
214;;;;4;6;4;6;3;4;6;7;6;7;4;3;;;;89
215;5;5;4;3;5;5;4;3;6;6;4;5;3;4;;;4;4;78
216;5;6;3;;;;5;4;5;7;5;5;3;6;4;4;5;4;86
217;;;;4;5;4;4;3;;;;;;;;;;;77
218;3;4;3;4;5;;;;;;;;;;;5;3;5;75
219;6;4;5;;;;;;5;6;4;5;3;5;5;5;4;7;88
220;;;;;;;;;;6;7;7;8;5;;;;;101
221;;;;;;;6;4;3;5;6;5;5;7;4;4;;;87
222;4;4;3;5;6;4;4;4;4;5;5;4;5;;4;4;4;4;78
223;8;5;;;;;;;6;5;7;7;3;4;5;7;5;4;97
224;;;;4;5;6;5;5;3;6;3;4;4;3;3;4;4;5;77
225;;;;;;;;;;;;;;5;4;4;;;82
226;5;4;;6;5;4;6;3;4;5;4;5;3;5;4;7;4;5;84
227;4;;;;;;;;;;;;;;3;7;3;6;85
228;3;3;4;7;;;;;;;;;;;;;3;5;81
229;4;5;4;3;7;5;4;3;6;;;;3;4;3;6;3;4;79
230;;;;4;4;4;5;3;4;6;;;;;;;;;78
231;;;;;;;4;;;;;;;;;;;;81
232;7;5;6;;;;;;;;;;;;;4;3;7;91
